dataset,query #,width,height,from,to,query_type,Time (sec)
intel_lab_exp,0,1000,600,2004-02-28 00:58:46.000,2025-05-19 09:00:46.000,,1.6500615
intel_lab_exp,1,1000,600,2005-03-17 03:39:19.424,2024-05-01 06:20:43.392,ZI,0.024709959
intel_lab_exp,2,1000,600,2005-06-15 06:16:14.080,2024-02-01 03:43:48.736,ZI,0.02080525
intel_lab_exp,3,1000,600,2008-02-20 00:09:01.696,2021-05-27 09:51:01.120,ZI,0.020098
intel_lab_exp,4,1000,600,2004-04-28 19:23:38.114,2017-08-04 05:05:37.538,P,0.028433417
intel_lab_exp,5,1000,600,2004-04-28 19:23:38.114,2017-08-04 05:05:37.538,MC,0.916975917
intel_lab_exp,6,1000,600,2004-09-11 12:33:39.840,2017-03-21 11:54:34.880,ZI,0.023559875
intel_lab_exp,7,1000,600,2005-06-27 00:28:33.152,2016-06-05 23:59:41.568,ZI,0.024416792
intel_lab_exp,8,1000,600,2005-10-04 06:31:38.752,2016-02-27 17:56:35.968,ZI,0.024863375
intel_lab_exp,9,1000,600,2005-10-04 06:31:38.752,2016-02-27 17:56:35.968,PD,0.103726084
intel_lab_exp,10,1000,600,2006-10-13 17:13:27.296,2015-02-18 07:14:47.424,ZI,0.024254709
intel_lab_exp,11,1000,600,2009-08-30 19:55:04.447,2018-01-05 09:56:24.575,P,0.14570475
intel_lab_exp,12,1000,600,2009-08-30 19:55:04.447,2018-01-05 09:56:24.575,MC,0.83170425
intel_lab_exp,13,1000,600,2008-04-06 07:12:14.848,2019-05-31 22:39:10.336,ZO,0.698665875
intel_lab_exp,14,1000,600,2011-05-02 03:39:12.168,2022-06-25 19:06:07.656,P,1.083444583
intel_lab_exp,15,1000,600,2010-11-08 20:12:09.600,2022-12-17 02:33:34.976,ZO,0.536468833
intel_lab_exp,16,1000,600,2012-02-26 05:15:44.000,2021-08-29 17:30:00.576,ZI,0.316357208
intel_lab_exp,17,1000,600,2012-02-26 05:15:44.000,2021-08-29 17:30:00.576,PD,0.050508958
intel_lab_exp,18,1000,600,2012-06-07 06:48:57.088,2021-05-19 15:56:47.488,ZI,0.054566958
intel_lab_exp,19,1000,600,2009-10-02 13:17:22.737,2018-09-13 22:25:13.137,P,0.049110416
intel_lab_exp,20,1000,600,2009-10-02 13:17:22.737,2018-09-13 22:25:13.137,PD,0.040747833
intel_lab_exp,21,1000,600,2007-03-16 18:35:52.061,2016-02-26 03:43:42.461,P,0.261616209
intel_lab_exp,22,1000,600,2004-08-16 00:29:16.045,2013-07-28 09:37:06.445,P,0.45215125
intel_lab_exp,23,1000,600,2004-08-16 00:29:16.045,2013-07-28 09:37:06.445,PD,0.97324675
intel_lab_exp,24,1000,600,2004-12-13 21:07:39.648,2013-03-30 12:59:54.752,ZI,0.178292334
intel_lab_exp,25,1000,600,2006-01-08 20:47:26.208,2012-03-04 13:20:08.192,ZI,0.143548166
intel_lab_exp,26,1000,600,2006-01-08 20:47:26.208,2012-03-04 13:20:08.192,PD,0.023134958
intel_lab_exp,27,1000,600,2006-10-04 02:03:51.168,2011-06-10 08:03:43.232,ZI,0.79221725
intel_lab_exp,28,1000,600,2007-09-04 13:03:23.294,2012-05-10 19:03:15.358,P,0.213487458
intel_lab_exp,29,1000,600,2007-12-03 03:30:25.920,2012-02-11 04:35:44.768,ZI,0.027564875
intel_lab_exp,30,1000,600,2007-12-03 03:30:25.920,2012-02-11 04:35:44.768,PD,0.01497125
intel_lab_exp,31,1000,600,2008-05-17 18:19:54.752,2011-08-28 13:46:15.936,ZI,0.025295209
intel_lab_exp,32,1000,600,2007-06-28 05:37:05.285,2010-10-08 01:03:26.469,P,0.024730792
intel_lab_exp,33,1000,600,2006-08-02 12:46:30.943,2009-11-12 08:12:52.127,P,0.107754125
intel_lab_exp,34,1000,600,2005-01-22 07:29:19.331,2008-05-04 02:55:40.515,P,0.409427916
intel_lab_exp,35,1000,600,2005-01-22 07:29:19.331,2008-05-04 02:55:40.515,MC,0.017477959
intel_lab_exp,36,1000,600,2005-03-14 14:29:18.464,2008-03-13 19:57:31.008,ZI,0.01652475
intel_lab_exp,37,1000,600,2005-03-14 14:29:18.464,2008-03-13 19:57:31.008,MC,0.678307208
intel_lab_exp,38,1000,600,2005-05-22 20:35:26.336,2008-01-04 13:51:23.136,ZI,0.816059875
intel_lab_exp,39,1000,600,2004-05-15 17:53:57.652,2006-12-28 11:09:54.452,P,0.752624542
intel_lab_exp,40,1000,600,2004-08-28 12:58:49.216,2006-09-14 16:04:00.640,ZI,0.025801709
intel_lab_exp,41,1000,600,2004-03-07 08:18:47.622,2006-03-24 11:23:59.046,P,0.263416042
intel_lab_exp,42,1000,600,2004-05-27 16:55:41.679,2006-06-13 20:00:53.103,P,0.0284935
intel_lab_exp,43,1000,600,2004-09-26 17:41:15.392,2006-02-11 19:17:37.920,ZI,0.948039125
intel_lab_exp,44,1000,600,2004-07-19 03:11:35.424,2006-04-22 09:46:12.352,ZO,0.030312167
intel_lab_exp,45,1000,600,2004-09-30 01:52:41.472,2006-02-08 11:05:06.304,ZI,1.591631083
intel_lab_exp,46,1000,600,2004-09-30 01:52:41.472,2006-02-08 11:05:06.304,MC,0.823713541
intel_lab_exp,47,1000,600,2005-04-06 20:52:49.715,2006-08-16 06:05:14.547,P,1.264551667
intel_lab_exp,48,1000,600,2005-04-06 20:52:49.715,2006-08-16 06:05:14.547,MC,0.032537167
intel_lab_exp,49,1000,600,2005-04-06 20:52:49.715,2006-08-16 06:05:14.547,MC,0.023686708
