orig_idx,subset,subset_idx
0,vis,0
1,vis,1
2,pat,0
3,vis,2
4,vis,3
5,vis,4
6,pat,1
7,pat,2
8,pat,3
9,pat,4
10,vis,5
11,pat,5
12,vis,6
13,pat,6
14,vis,7
15,vis,8
16,vis,9
17,vis,10
18,pat,7
19,pat,8
20,vis,11
21,pat,9
22,pat,10
23,vis,12
24,vis,13
25,pat,11
26,vis,14
27,vis,15
28,vis,16
29,pat,12
30,pat,13
31,pat,14
32,vis,17
33,pat,15
34,vis,18
35,pat,16
36,vis,19
37,pat,17
38,vis,20
39,pat,18
40,vis,21
41,pat,19
42,vis,22
43,pat,20
44,vis,23
45,pat,21
46,vis,24
47,vis,25
48,vis,26
49,pat,22
