orig_idx,subset,subset_idx
0,vis,0
1,vis,1
2,pat,0
3,vis,2
4,pat,1
5,vis,3
6,pat,2
7,vis,4
8,vis,5
9,pat,3
10,vis,6
11,pat,4
12,vis,7
13,pat,5
14,vis,8
15,vis,9
16,pat,6
17,pat,7
18,vis,10
19,vis,11
20,vis,12
21,pat,8
22,pat,9
23,pat,10
24,vis,13
25,vis,14
26,vis,15
27,pat,11
28,vis,16
29,vis,17
30,vis,18
31,vis,19
32,pat,12
33,pat,13
34,pat,14
35,pat,15
36,pat,16
37,pat,17
38,pat,18
39,vis,20
40,pat,19
41,vis,21
42,vis,22
43,pat,20
44,pat,21
45,vis,23
46,pat,22
47,vis,24
48,vis,25
49,pat,23
