orig_idx,subset,subset_idx
0,vis,0
1,vis,1
2,pat,0
3,pat,1
4,pat,2
5,pat,3
6,vis,2
7,vis,3
8,pat,4
9,vis,4
10,pat,5
11,vis,5
12,vis,6
13,vis,7
14,pat,6
15,pat,7
16,vis,8
17,vis,9
18,pat,8
19,vis,10
20,pat,9
21,vis,11
22,vis,12
23,pat,10
24,vis,13
25,pat,11
26,vis,14
27,pat,12
28,pat,13
29,pat,14
30,pat,15
31,vis,15
32,vis,16
33,pat,16
34,vis,17
35,pat,17
36,vis,18
37,vis,19
38,vis,20
39,pat,18
40,vis,21
41,pat,19
42,pat,20
43,pat,21
44,vis,22
45,vis,23
46,vis,24
47,vis,25
48,vis,26
49,vis,27
