1704067200000,1715662398228,2024-01-01 00:00:00.000,2024-05-14 04:53:18.228,0,1000,600,0.95,pattern,custom,5 Minutes,821:-75:-45;822:45:75
1996490656884,2002026268441,2033-04-07 12:44:16.884,2033-06-10 14:24:28.441,0,1000,600,0.95,pattern,custom,2 Minutes,129:45:75;128:-75:-45
1758174548322,1759398974564,2025-09-18 05:49:08.322,2025-10-02 09:56:14.564,0,1000,600,0.95,pattern,custom,30 Seconds,514:-75:-45;514:45:75
1992347844952,1993438154852,2033-02-18 13:57:24.952,2033-03-03 04:49:14.852,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;257:-75:-45
1930373898525,1930745340957,2031-03-04 06:58:18.525,2031-03-08 14:09:00.957,0,1000,600,0.95,pattern,custom,10 Seconds,771:45:75;771:-75:-45
1710318777494,1714589999707,2024-03-13 08:32:57.494,2024-05-01 18:59:59.707,0,1000,600,0.95,pattern,custom,2 Minutes,129:-75:-45;128:45:75
1753508066500,1755438503154,2025-07-26 05:34:26.500,2025-08-17 13:48:23.154,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45
2019288824954,2019643140000,2033-12-27 09:33:44.954,2033-12-31 11:59:00.000,0,1000,600,0.95,pattern,custom,10 Seconds,771:45:75;771:-75:-45
1968715987805,1971491623218,2032-05-21 01:33:07.805,2032-06-22 04:33:43.218,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45
1900984352588,1901671117700,2030-03-29 03:12:32.588,2030-04-06 01:58:37.700,0,1000,600,0.95,pattern,custom,15 Seconds,514:45:75;514:-75:-45
1752731039485,1763768652420,2025-07-17 05:43:59.485,2025-11-21 23:44:12.420,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1916815331949,1927929556748,2030-09-28 08:42:11.949,2031-02-03 23:59:16.748,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1957318053402,1958227647125,2032-01-10 03:27:33.402,2032-01-20 16:07:27.125,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;386:45:75
1823565642756,1826631408160,2027-10-15 02:00:42.756,2027-11-19 13:36:48.160,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45
1784658097227,1786295543545,2026-07-21 18:21:37.227,2026-08-09 17:12:23.545,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45
1913283349326,1915918657174,2030-08-18 11:35:49.326,2030-09-17 23:37:37.174,0,1000,600,0.95,pattern,custom,1 Minutes,129:-75:-45;128:45:75
1911432480981,1912972732008,2030-07-28 01:28:00.981,2030-08-14 21:18:52.008,0,1000,600,0.95,pattern,custom,1 Minutes,129:-75:-45;128:45:75
1711656231633,1712790989672,2024-03-28 20:03:51.633,2024-04-10 23:16:29.672,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;257:45:75
1733157452890,1734030863490,2024-12-02 16:37:32.890,2024-12-12 19:14:23.490,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;386:45:75
1840168602829,1843085862091,2028-04-24 05:56:42.829,2028-05-28 00:17:42.091,0,1000,600,0.95,pattern,custom,1 Minutes,513:45:75;514:-75:-45
1996328648052,2006755373767,2033-04-05 15:44:08.052,2033-08-04 08:02:53.767,0,1000,600,0.95,pattern,custom,5 Minutes,103:-75:-45;102:45:75
1725159204054,1726623995405,2024-09-01 02:53:24.054,2024-09-18 01:46:35.405,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;257:45:75
1945491782674,1948371283935,2031-08-26 06:23:02.674,2031-09-28 14:14:43.935,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45
1715596401423,1716623454731,2024-05-13 10:33:21.423,2024-05-25 07:50:54.731,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;257:-75:-45
1804674607883,1809668799245,2027-03-10 10:30:07.883,2027-05-07 05:46:39.245,0,1000,600,0.95,pattern,custom,2 Minutes,129:-75:-45;128:45:75
1788830208560,1789775857630,2026-09-08 01:16:48.560,2026-09-18 23:57:37.630,0,1000,600,0.95,pattern,custom,20 Seconds,385:45:75;386:-75:-45
1818722844265,1819879252126,2027-08-20 00:47:24.265,2027-09-02 10:00:52.126,0,1000,600,0.95,pattern,custom,30 Seconds,514:-75:-45;514:45:75
1868530299980,1869183004860,2029-03-18 12:11:39.980,2029-03-26 01:30:04.860,0,1000,600,0.95,pattern,custom,15 Seconds,514:45:75;514:-75:-45
1933975367232,1938400740126,2031-04-14 23:22:47.232,2031-06-05 04:39:00.126,0,1000,600,0.95,pattern,custom,2 Minutes,129:-75:-45;128:45:75
1741323247833,1776560609764,2025-03-07 04:54:07.833,2026-04-19 01:03:29.764,0,1000,600,0.95,pattern,custom,12 Minutes,171:-75:-45;171:45:75
