1892996392061,1893959510612,2029-12-26 16:19:52.061,2030-01-06 19:51:50.612,0,1000,600,0.95,pattern,custom,20 Seconds,192:45:75;193:-75:-45;193:45:75;193:-75:-45
1818583631232,1820298014586,2027-08-18 10:07:11.232,2027-09-07 06:20:14.586,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1979516554946,1990885166158,2032-09-23 01:42:34.946,2033-02-01 15:39:26.158,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1824688179326,1826539159267,2027-10-28 01:49:39.326,2027-11-18 11:59:19.267,0,1000,600,0.95,pattern,custom,1 Minutes,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1729880135784,1731642467025,2024-10-25 18:15:35.784,2024-11-15 03:47:47.025,0,1000,600,0.95,pattern,custom,1 Minutes,130:45:75;128:-75:-45;128:45:75;128:-75:-45
1724797827732,1733155053677,2024-08-27 22:30:27.732,2024-12-02 15:57:33.677,0,1000,600,0.95,pattern,custom,3 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1930561267451,1933600546329,2031-03-06 11:01:07.451,2031-04-10 15:15:46.329,0,1000,600,0.95,pattern,custom,2 Minutes,32:45:75;32:-75:-45;32:45:75;32:-75:-45
1958751225938,1959127529263,2032-01-26 17:33:45.938,2032-01-31 02:05:29.263,0,1000,600,0.95,pattern,custom,10 Seconds,384:45:75;386:-75:-45;386:45:75;386:-75:-45
1922980190707,1966112494715,2030-12-08 17:09:50.707,2032-04-20 22:21:34.715,0,1000,600,0.95,pattern,custom,15 Minutes,273:45:75;274:-75:-45;274:45:75;274:-75:-45
1950265492908,1951699217691,2031-10-20 12:24:52.908,2031-11-06 02:40:17.691,0,1000,600,0.95,pattern,custom,30 Seconds,1026:45:75;1028:-75:-45;1028:45:75;1028:-75:-45
1709620822533,1711973529978,2024-03-05 06:40:22.533,2024-04-01 12:12:09.978,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1835166187019,1836645132327,2028-02-26 08:23:07.019,2028-03-14 11:12:12.327,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;257:-75:-45;257:45:75;257:-75:-45
