1798447522849,1812876946114,2026-12-28 08:45:22.849,2027-06-13 08:55:46.114,0,1000,600,0.95,pattern,custom,5 Minutes,102:30:89;103:-89:-30;103:30:89;103:-89:-30
1870765292790,1873809488088,2029-04-13 09:01:32.790,2029-05-18 14:38:08.088,0,1000,600,0.95,pattern,custom,2 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1943315529941,1946791470875,2031-08-01 01:52:09.941,2031-09-10 07:24:30.875,0,1000,600,0.95,pattern,custom,2 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
1990585767853,1991747440406,2033-01-29 04:29:27.853,2033-02-11 15:10:40.406,0,1000,600,0.95,pattern,custom,30 Seconds,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1721170406341,1721476203156,2024-07-16 22:53:26.341,2024-07-20 11:50:03.156,0,1000,600,0.95,pattern,custom,10 Seconds,384:30:89;386:-89:-30;386:30:89;386:-89:-30
1712759363572,1715605384224,2024-04-10 14:29:23.572,2024-05-13 13:03:04.224,0,1000,600,0.95,pattern,custom,1 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
1819687577301,1866411941235,2027-08-31 04:46:17.301,2029-02-21 23:45:41.235,0,1000,600,0.95,pattern,custom,20 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1881743433833,1882441628056,2029-08-18 10:30:33.833,2029-08-26 12:27:08.056,0,1000,600,0.95,pattern,custom,15 Seconds,514:30:89;514:-89:-30;514:30:89;514:-89:-30
1704067200000,1723757797511,2024-01-01 00:00:00.000,2024-08-15 21:36:37.511,0,1000,600,0.95,pattern,custom,10 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1928772102658,1933185718005,2031-02-13 18:01:42.658,2031-04-05 20:01:58.005,0,1000,600,0.95,pattern,custom,2 Minutes,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1881810520872,1882401724851,2029-08-19 05:08:40.872,2029-08-26 01:22:04.851,0,1000,600,0.95,pattern,custom,12 Seconds,322:30:89;321:-89:-30;321:30:89;321:-89:-30
1996338699426,1998764443513,2033-04-05 18:31:39.426,2033-05-03 20:20:43.513,0,1000,600,0.95,pattern,custom,1 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
2001113638757,2003006629565,2033-05-31 00:53:58.757,2033-06-21 22:43:49.565,0,1000,600,0.95,pattern,custom,1 Minutes,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1753275787588,1753727001328,2025-07-23 13:03:07.588,2025-07-28 18:23:21.328,0,1000,600,0.95,pattern,custom,10 Seconds,384:30:89;386:-89:-30;386:30:89;386:-89:-30
1734448491242,1735354966698,2024-12-17 15:14:51.242,2024-12-28 03:02:46.698,0,1000,600,0.95,pattern,custom,20 Seconds,192:30:89;193:-89:-30;193:30:89;193:-89:-30
1939060943494,1976682418879,2031-06-12 20:02:23.494,2032-08-21 06:26:58.879,0,1000,600,0.95,pattern,custom,15 Minutes,69:30:89;68:-89:-30;68:30:89;68:-89:-30
1761539920007,1762972662125,2025-10-27 04:38:40.007,2025-11-12 18:37:42.125,0,1000,600,0.95,pattern,custom,30 Seconds,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1827355100014,1829535782660,2027-11-27 22:38:20.014,2027-12-23 04:23:02.660,0,1000,600,0.95,pattern,custom,1 Minutes,256:30:89;257:-89:-30;257:30:89;257:-89:-30
1981710016538,1982097797110,2032-10-18 11:00:16.538,2032-10-22 22:43:17.110,0,1000,600,0.95,pattern,custom,10 Seconds,384:30:89;386:-89:-30;386:30:89;386:-89:-30
1995222570181,1997428861458,2033-03-23 20:29:30.181,2033-04-18 09:21:01.458,0,1000,600,0.95,pattern,custom,1 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
1726052009240,1733150215173,2024-09-11 10:53:29.240,2024-12-02 14:36:55.173,0,1000,600,0.95,pattern,custom,3 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
1787709387180,1790747146583,2026-08-26 01:56:27.180,2026-09-30 05:45:46.583,0,1000,600,0.95,pattern,custom,2 Minutes,32:30:89;32:-89:-30;32:30:89;32:-89:-30
1969533570500,1980762644332,2032-05-30 12:39:30.500,2032-10-07 11:50:44.332,0,1000,600,0.95,pattern,custom,5 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1788893071836,1791416997179,2026-09-08 18:44:31.836,2026-10-07 23:49:57.179,0,1000,600,0.95,pattern,custom,1 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
1864349911104,1865819218223,2029-01-29 02:58:31.104,2029-02-15 03:06:58.223,0,1000,600,0.95,pattern,custom,30 Seconds,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1898060509574,1899255068565,2030-02-23 07:01:49.574,2030-03-09 02:51:08.565,0,1000,600,0.95,pattern,custom,30 Seconds,257:30:89;257:-89:-30;257:30:89;257:-89:-30
2015325506412,2017707727457,2033-11-11 12:38:26.412,2033-12-09 02:22:07.457,0,1000,600,0.95,pattern,custom,1 Minutes,65:30:89;64:-89:-30;64:30:89;64:-89:-30
1913511957428,1916310785278,2030-08-21 03:05:57.428,2030-09-22 12:33:05.278,0,1000,600,0.95,pattern,custom,1 Minutes,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1945198306014,1947551803541,2031-08-22 20:51:46.014,2031-09-19 02:36:43.541,0,1000,600,0.95,pattern,custom,1 Minutes,130:30:89;128:-89:-30;128:30:89;128:-89:-30
1868993432025,1901522136978,2029-03-23 20:50:32.025,2030-04-04 08:35:36.978,0,1000,600,0.95,pattern,custom,12 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
