1892996459061,1893959467612,2029-12-26 16:20:59.061,2030-01-06 19:51:07.612,0,1000,600,0.95,pattern,custom,20 Seconds,194:45:75;192:-75:-45;192:45:75;192:-75:-45
1818583618232,1820297891586,2027-08-18 10:06:58.232,2027-09-07 06:18:11.586,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1979516617946,1990885389158,2032-09-23 01:43:37.946,2033-02-01 15:43:09.158,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1824688201326,1826539341267,2027-10-28 01:50:01.326,2027-11-18 12:02:21.267,0,1000,600,0.95,pattern,custom,1 Minutes,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1729880170784,1731642282025,2024-10-25 18:16:10.784,2024-11-15 03:44:42.025,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1724797904732,1733155290677,2024-08-27 22:31:44.732,2024-12-02 16:01:30.677,0,1000,600,0.95,pattern,custom,3 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1930561344451,1933600513329,2031-03-06 11:02:24.451,2031-04-10 15:15:13.329,0,1000,600,0.95,pattern,custom,2 Minutes,32:45:75;32:-75:-45;32:45:75;32:-75:-45
1958751274938,1959127468263,2032-01-26 17:34:34.938,2032-01-31 02:04:28.263,0,1000,600,0.95,pattern,custom,10 Seconds,385:45:75;385:-75:-45;385:45:75;385:-75:-45
1922980215707,1966112669715,2030-12-08 17:10:15.707,2032-04-20 22:24:29.715,0,1000,600,0.95,pattern,custom,15 Minutes,273:45:75;274:-75:-45;274:45:75;274:-75:-45
1950265549908,1951698994691,2031-10-20 12:25:49.908,2031-11-06 02:36:34.691,0,1000,600,0.95,pattern,custom,30 Seconds,1028:45:75;1027:-75:-45;1027:45:75;1027:-75:-45
1709620841533,1711973438978,2024-03-05 06:40:41.533,2024-04-01 12:10:38.978,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1835166189019,1836644914327,2028-02-26 08:23:09.019,2028-03-14 11:08:34.327,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
2016834366387,2018287773473,2033-11-28 23:46:06.387,2033-12-15 19:29:33.473,0,1000,600,0.95,pattern,custom,30 Seconds,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1763750623439,1768874921948,2025-11-21 18:43:43.439,2026-01-20 02:08:41.948,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1936532372457,1938900657921,2031-05-14 13:39:32.457,2031-06-10 23:30:57.921,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1829767646637,1853952286565,2027-12-25 20:47:26.637,2028-09-30 18:44:46.565,0,1000,600,0.95,pattern,custom,10 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1989764301203,1991923463375,2033-01-19 16:18:21.203,2033-02-13 16:04:23.375,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1991630196081,1992181562636,2033-02-10 06:36:36.081,2033-02-16 15:46:02.636,0,1000,600,0.95,pattern,custom,12 Seconds,642:45:75;642:-75:-45;642:45:75;642:-75:-45
