1704067200000,1715662546652,2024-01-01 00:00:00.000,2024-05-14 04:55:46.652,0,1000,600,0.95,pattern,custom,5 Minutes,821:-75:-45;822:45:75
1996493674724,2002029065281,2033-04-07 13:34:34.724,2033-06-10 15:11:05.281,0,1000,600,0.95,pattern,custom,2 Minutes,128:45:75;128:-75:-45
1758174577694,1759398782936,2025-09-18 05:49:37.694,2025-10-02 09:53:02.936,0,1000,600,0.95,pattern,custom,30 Seconds,513:-75:-45;514:45:75
1992350027784,1993440228764,2033-02-18 14:33:47.784,2033-03-03 05:23:48.764,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1930373202569,1930744536081,2031-03-04 06:46:42.569,2031-03-08 13:55:36.081,0,1000,600,0.95,pattern,custom,10 Seconds,770:45:75;770:-75:-45
1710318814910,1714589816123,2024-03-13 08:33:34.910,2024-05-01 18:56:56.123,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1753507806568,1755438134302,2025-07-26 05:30:06.568,2025-08-17 13:42:14.302,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
2019288650642,2019643199416,2033-12-27 09:30:50.642,2033-12-31 11:59:59.416,0,1000,600,0.95,pattern,custom,10 Seconds,770:45:75;770:-75:-45
1968716345249,1971491871742,2032-05-21 01:39:05.249,2032-06-22 04:37:51.742,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1900985426948,1901672083140,2030-03-29 03:30:26.948,2030-04-06 02:14:43.140,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1752731092709,1763768863644,2025-07-17 05:44:52.709,2025-11-21 23:47:43.644,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1916815340697,1927929723496,2030-09-28 08:42:20.697,2031-02-04 00:02:03.496,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1957317883238,1958227368041,2032-01-10 03:24:43.238,2032-01-20 16:02:48.041,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1823565752156,1826631408640,2027-10-15 02:02:32.156,2027-11-19 13:36:48.640,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45
1784659649095,1786296986493,2026-07-21 18:47:29.095,2026-08-09 17:36:26.493,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1913281896934,1915917095862,2030-08-18 11:11:36.934,2030-09-17 23:11:35.862,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1911433217813,1912973359920,2030-07-28 01:40:17.813,2030-08-14 21:29:19.920,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1711655783221,1712790432340,2024-03-28 19:56:23.221,2024-04-10 23:07:12.340,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1733154882790,1734028184470,2024-12-02 15:54:42.790,2024-12-12 18:29:44.470,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1840168657881,1843086075143,2028-04-24 05:57:37.881,2028-05-28 00:21:15.143,0,1000,600,0.95,pattern,custom,1 Minutes,513:45:75;514:-75:-45
1996328694480,2006755578195,2033-04-05 15:44:54.480,2033-08-04 08:06:18.195,0,1000,600,0.95,pattern,custom,5 Minutes,103:-75:-45;102:45:75
1725157803894,1726622486325,2024-09-01 02:30:03.894,2024-09-18 01:21:26.325,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1945492498350,1948371890691,2031-08-26 06:34:58.350,2031-09-28 14:24:50.691,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1712733160874,1717304800282,2024-04-10 07:12:40.874,2024-06-02 05:06:40.282,0,1000,600,0.95,pattern,custom,2 Minutes,257:-75:-45;256:45:75
1837653362895,1843047958261,2028-03-26 03:16:02.895,2028-05-27 13:45:58.261,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1710442831716,1711095427676,2024-03-14 19:00:31.716,2024-03-22 08:17:07.676,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1933972828680,1938397980574,2031-04-14 22:40:28.680,2031-06-05 03:53:00.574,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1741323279801,1776560680052,2025-03-07 04:54:39.801,2026-04-19 01:04:40.052,0,1000,600,0.95,pattern,custom,12 Minutes,171:-75:-45;171:45:75
1771425646657,1772751224899,2026-02-18 14:40:46.657,2026-03-05 22:53:44.899,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1803794392501,1806229823279,2027-02-28 05:59:52.501,2027-03-28 10:30:23.279,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
