1892995886529,1893958896160,2029-12-26 16:11:26.529,2030-01-06 19:41:36.160,0,1000,600,0.95,pattern,custom,20 Seconds,194:45:75;192:-75:-45;192:45:75;192:-75:-45
1818582958824,1820297233258,2027-08-18 09:55:58.824,2027-09-07 06:07:13.258,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1979516619434,1990885388646,2032-09-23 01:43:39.434,2033-02-01 15:43:08.646,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1824688203146,1826539341087,2027-10-28 01:50:03.146,2027-11-18 12:02:21.087,0,1000,600,0.95,pattern,custom,1 Minutes,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1729880171048,1731642281289,2024-10-25 18:16:11.048,2024-11-15 03:44:41.289,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1724797905804,1733155289749,2024-08-27 22:31:45.804,2024-12-02 16:01:29.749,0,1000,600,0.95,pattern,custom,3 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1930561228999,1933600398957,2031-03-06 11:00:28.999,2031-04-10 15:13:18.957,0,1000,600,0.95,pattern,custom,2 Minutes,32:45:75;32:-75:-45;32:45:75;32:-75:-45
1958750978698,1959127173103,2032-01-26 17:29:38.698,2032-01-31 01:59:33.103,0,1000,600,0.95,pattern,custom,10 Seconds,385:45:75;385:-75:-45;385:45:75;385:-75:-45
1922980215935,1966112670063,2030-12-08 17:10:15.935,2032-04-20 22:24:30.063,0,1000,600,0.95,pattern,custom,15 Minutes,273:45:75;274:-75:-45;274:45:75;274:-75:-45
1950265550140,1951698994083,2031-10-20 12:25:50.140,2031-11-06 02:36:34.083,0,1000,600,0.95,pattern,custom,30 Seconds,1028:45:75;1027:-75:-45;1027:45:75;1027:-75:-45
1709619627333,1711972225858,2024-03-05 06:20:27.333,2024-04-01 11:50:25.858,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1835161277587,1836640001895,2028-02-26 07:01:17.587,2028-03-14 09:46:41.895,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
2016834317391,2018287725557,2033-11-28 23:45:17.391,2033-12-15 19:28:45.557,0,1000,600,0.95,pattern,custom,30 Seconds,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1763750624023,1768874921532,2025-11-21 18:43:44.023,2026-01-20 02:08:41.532,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1936531851833,1938900138377,2031-05-14 13:30:51.833,2031-06-10 23:22:18.377,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1829767647153,1853952286241,2027-12-25 20:47:27.153,2028-09-30 18:44:46.241,0,1000,600,0.95,pattern,custom,10 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1989766599299,1991925762551,2033-01-19 16:56:39.299,2033-02-13 16:42:42.551,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1991629032009,1992180397564,2033-02-10 06:17:12.009,2033-02-16 15:26:37.564,0,1000,600,0.95,pattern,custom,12 Seconds,642:45:75;642:-75:-45;642:45:75;642:-75:-45
1799509503243,1800182256053,2027-01-09 15:45:03.243,2027-01-17 10:37:36.053,0,1000,600,0.95,pattern,custom,15 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1841203345985,1843871241111,2028-05-06 05:22:25.985,2028-06-06 02:27:21.111,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1823643082885,1827893147051,2027-10-15 23:31:22.885,2027-12-04 04:05:47.051,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1817768631161,1818818253456,2027-08-08 23:43:51.161,2027-08-21 03:17:33.456,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1843626128865,1859829623572,2028-06-03 06:22:08.865,2028-12-07 19:20:23.572,0,1000,600,0.95,pattern,custom,6 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1985031801924,1986936725684,2032-11-25 21:43:21.924,2032-12-17 22:52:05.684,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1912763987249,1924055544954,2030-08-12 11:19:47.249,2030-12-21 03:52:24.954,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1732064441586,1733676341888,2024-11-20 01:00:41.586,2024-12-08 16:45:41.888,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1886473871831,1889316061603,2029-10-12 04:31:11.831,2029-11-14 02:01:01.603,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1756254820744,1770117163490,2025-08-27 00:33:40.744,2026-02-03 11:12:43.490,0,1000,600,0.95,pattern,custom,5 Minutes,821:45:75;822:-75:-45;822:45:75;822:-75:-45
1729210385851,1733211449482,2024-10-18 00:13:05.851,2024-12-03 07:37:29.482,0,1000,600,0.95,pattern,custom,2 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1986146526784,1989091605313,2032-12-08 19:22:06.784,2033-01-11 21:26:45.313,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
