1798447578149,1812876720574,2026-12-28 08:46:18.149,2027-06-13 08:52:00.574,0,1000,600,0.95,pattern,custom,5 Minutes,104:30:89;102:-89:-30;102:30:89;102:-89:-30
1870765330610,1873809683908,2029-04-13 09:02:10.610,2029-05-18 14:41:23.908,0,1000,600,0.95,pattern,custom,2 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1943317543089,1946793263023,2031-08-01 02:25:43.089,2031-09-10 07:54:23.023,0,1000,600,0.95,pattern,custom,2 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1990585880349,1991747443982,2033-01-29 04:31:20.349,2033-02-11 15:10:43.982,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1721170022817,1721475710712,2024-07-16 22:47:02.817,2024-07-20 11:41:50.712,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1712758166016,1715604077748,2024-04-10 14:09:26.016,2024-05-13 12:41:17.748,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1819687647441,1866412049695,2027-08-31 04:47:27.441,2029-02-21 23:47:29.695,0,1000,600,0.95,pattern,custom,20 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1881741992077,1882439965300,2029-08-18 10:06:32.077,2029-08-26 11:59:25.300,0,1000,600,0.95,pattern,custom,15 Seconds,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1704067200000,1723757545563,2024-01-01 00:00:00.000,2024-08-15 21:32:25.563,0,1000,600,0.95,pattern,custom,10 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1928772138594,1933185792261,2031-02-13 18:02:18.594,2031-04-05 20:03:12.261,0,1000,600,0.95,pattern,custom,2 Minutes,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1881808633512,1882399728571,2029-08-19 04:37:13.512,2029-08-26 00:48:48.571,0,1000,600,0.95,pattern,custom,12 Seconds,321:30:89;321:-89:-30;321:30:89;321:-89:-30
1996340951914,1998766587081,2033-04-05 19:09:11.914,2033-05-03 20:56:27.081,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
2001116521949,2003009291757,2033-05-31 01:42:01.949,2033-06-21 23:28:11.757,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1753273643656,1753724748476,2025-07-23 12:27:23.656,2025-07-28 17:45:48.476,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1734448967742,1735355334278,2024-12-17 15:22:47.742,2024-12-28 03:08:54.278,0,1000,600,0.95,pattern,custom,20 Seconds,194:30:89;192:-89:-30;192:30:89;192:-89:-30
1939060972034,1976682485739,2031-06-12 20:02:52.034,2032-08-21 06:28:05.739,0,1000,600,0.95,pattern,custom,15 Minutes,69:30:89;68:-89:-30;68:30:89;68:-89:-30
1761541666355,1762974299553,2025-10-27 05:07:46.355,2025-11-12 19:04:59.553,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1827355171054,1829536011700,2027-11-27 22:39:31.054,2027-12-23 04:26:51.700,0,1000,600,0.95,pattern,custom,1 Minutes,256:30:89;257:-89:-30;257:30:89;257:-89:-30
1981707065366,1982094737018,2032-10-18 10:11:05.366,2032-10-22 21:52:17.018,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1995221338633,1997427520990,2033-03-23 20:08:58.633,2033-04-18 08:58:40.990,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1726052024092,1733150388025,2024-09-11 10:53:44.092,2024-12-02 14:39:48.025,0,1000,600,0.95,pattern,custom,3 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
1787709431356,1790747081839,2026-08-26 01:57:11.356,2026-09-30 05:44:41.839,0,1000,600,0.95,pattern,custom,2 Minutes,32:30:89;32:-89:-30;32:30:89;32:-89:-30
1969533597380,1980762829212,2032-05-30 12:39:57.380,2032-10-07 11:53:49.212,0,1000,600,0.95,pattern,custom,5 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1788893860192,1791417676615,2026-09-08 18:57:40.192,2026-10-08 00:01:16.615,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1864353658484,1865822856683,2029-01-29 04:00:58.484,2029-02-15 04:07:36.683,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1898063550070,1899257888061,2030-02-23 07:52:30.070,2030-03-09 03:38:08.061,0,1000,600,0.95,pattern,custom,30 Seconds,256:30:89;257:-89:-30;257:30:89;257:-89:-30
2015325374044,2017707486169,2033-11-11 12:36:14.044,2033-12-09 02:18:06.169,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1913514607632,1916313214482,2030-08-21 03:50:07.632,2030-09-22 13:13:34.482,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1945195848618,1947549125145,2031-08-22 20:10:48.618,2031-09-19 01:52:05.145,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1868993507997,1901522251270,2029-03-23 20:51:47.997,2030-04-04 08:37:31.270,0,1000,600,0.95,pattern,custom,12 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
