1704067200000,1715662568228,2024-01-01 00:00:00.000,2024-05-14 04:56:08.228,0,1000,600,0.95,pattern,custom,5 Minutes,821:-75:-45;822:45:75
1996490696884,2002026108441,2033-04-07 12:44:56.884,2033-06-10 14:21:48.441,0,1000,600,0.95,pattern,custom,2 Minutes,128:45:75;128:-75:-45
1758174573322,1759398799564,2025-09-18 05:49:33.322,2025-10-02 09:53:19.564,0,1000,600,0.95,pattern,custom,30 Seconds,513:-75:-45;514:45:75
1992347864952,1993438074852,2033-02-18 13:57:44.952,2033-03-03 04:47:54.852,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1930373963525,1930745305957,2031-03-04 06:59:23.525,2031-03-08 14:08:25.957,0,1000,600,0.95,pattern,custom,10 Seconds,771:45:75;770:-75:-45
1710318812494,1714589834707,2024-03-13 08:33:32.494,2024-05-01 18:57:14.707,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1753508156500,1755438493154,2025-07-26 05:35:56.500,2025-08-17 13:48:13.154,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
2019288924954,2019643195000,2033-12-27 09:35:24.954,2033-12-31 11:59:55.000,0,1000,600,0.95,pattern,custom,10 Seconds,771:45:75;770:-75:-45
1968715992805,1971491528218,2032-05-21 01:33:12.805,2032-06-22 04:32:08.218,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1900984377588,1901671042700,2030-03-29 03:12:57.588,2030-04-06 01:57:22.700,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1752731094485,1763768857420,2025-07-17 05:44:54.485,2025-11-21 23:47:37.420,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1916815336949,1927929711748,2030-09-28 08:42:16.949,2031-02-04 00:01:51.748,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1957318103402,1958227597125,2032-01-10 03:28:23.402,2032-01-20 16:06:37.125,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1823565677756,1826631343160,2027-10-15 02:01:17.756,2027-11-19 13:35:43.160,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45
1784658112227,1786295458545,2026-07-21 18:21:52.227,2026-08-09 17:10:58.545,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1913283354326,1915918562174,2030-08-18 11:35:54.326,2030-09-17 23:36:02.174,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1911432470981,1912972622008,2030-07-28 01:27:50.981,2030-08-14 21:17:02.008,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1711656261633,1712790919672,2024-03-28 20:04:21.633,2024-04-10 23:15:19.672,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1733157457890,1734030768490,2024-12-02 16:37:37.890,2024-12-12 19:12:48.490,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1840168652829,1843086062091,2028-04-24 05:57:32.829,2028-05-28 00:21:02.091,0,1000,600,0.95,pattern,custom,1 Minutes,513:45:75;514:-75:-45
1996328698052,2006755573767,2033-04-05 15:44:58.052,2033-08-04 08:06:13.767,0,1000,600,0.95,pattern,custom,5 Minutes,103:-75:-45;102:45:75
1725159224054,1726623915405,2024-09-01 02:53:44.054,2024-09-18 01:45:15.405,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1945491857674,1948371258935,2031-08-26 06:24:17.674,2031-09-28 14:14:18.935,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1715596426423,1716623379731,2024-05-13 10:33:46.423,2024-05-25 07:49:39.731,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1804674652883,1809668644245,2027-03-10 10:30:52.883,2027-05-07 05:44:04.245,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1788830278560,1789775827630,2026-09-08 01:17:58.560,2026-09-18 23:57:07.630,0,1000,600,0.95,pattern,custom,20 Seconds,385:45:75;385:-75:-45
1818722904265,1819879112126,2027-08-20 00:48:24.265,2027-09-02 09:58:32.126,0,1000,600,0.95,pattern,custom,30 Seconds,513:-75:-45;514:45:75
1868530339980,1869182944860,2029-03-18 12:12:19.980,2029-03-26 01:29:04.860,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1933975457232,1938400630126,2031-04-14 23:24:17.232,2031-06-05 04:37:10.126,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1741323277833,1776560689764,2025-03-07 04:54:37.833,2026-04-19 01:04:49.764,0,1000,600,0.95,pattern,custom,12 Minutes,171:-75:-45;171:45:75
