1798447577849,1812876701114,2026-12-28 08:46:17.849,2027-06-13 08:51:41.114,0,1000,600,0.95,pattern,custom,5 Minutes,104:30:89;102:-89:-30;102:30:89;102:-89:-30
1870765327790,1873809673088,2029-04-13 09:02:07.790,2029-05-18 14:41:13.088,0,1000,600,0.95,pattern,custom,2 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1943315569941,1946791310875,2031-08-01 01:52:49.941,2031-09-10 07:21:50.875,0,1000,600,0.95,pattern,custom,2 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1990585867853,1991747440406,2033-01-29 04:31:07.853,2033-02-11 15:10:40.406,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1721170436341,1721476133156,2024-07-16 22:53:56.341,2024-07-20 11:48:53.156,0,1000,600,0.95,pattern,custom,10 Seconds,386:30:89;385:-89:-30;385:30:89;385:-89:-30
1712759423572,1715605344224,2024-04-10 14:30:23.572,2024-05-13 13:02:24.224,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1819687642301,1866412056235,2027-08-31 04:47:22.301,2029-02-21 23:47:36.235,0,1000,600,0.95,pattern,custom,20 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1881743498833,1882441493056,2029-08-18 10:31:38.833,2029-08-26 12:24:53.056,0,1000,600,0.95,pattern,custom,15 Seconds,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1704067200000,1723757527511,2024-01-01 00:00:00.000,2024-08-15 21:32:07.511,0,1000,600,0.95,pattern,custom,10 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1928772132658,1933185798005,2031-02-13 18:02:12.658,2031-04-05 20:03:18.005,0,1000,600,0.95,pattern,custom,2 Minutes,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1881810535872,1882401639851,2029-08-19 05:08:55.872,2029-08-26 01:20:39.851,0,1000,600,0.95,pattern,custom,12 Seconds,321:30:89;321:-89:-30;321:30:89;321:-89:-30
1996338729426,1998764373513,2033-04-05 18:32:09.426,2033-05-03 20:19:33.513,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
2001113653757,2003006444565,2033-05-31 00:54:13.757,2033-06-21 22:40:44.565,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1753275812588,1753726926328,2025-07-23 13:03:32.588,2025-07-28 18:22:06.328,0,1000,600,0.95,pattern,custom,10 Seconds,386:30:89;385:-89:-30;385:30:89;385:-89:-30
1734448516242,1735354891698,2024-12-17 15:15:16.242,2024-12-28 03:01:31.698,0,1000,600,0.95,pattern,custom,20 Seconds,194:30:89;192:-89:-30;192:30:89;192:-89:-30
1939060968494,1976682493879,2031-06-12 20:02:48.494,2032-08-21 06:28:13.879,0,1000,600,0.95,pattern,custom,15 Minutes,69:30:89;68:-89:-30;68:30:89;68:-89:-30
1761539965007,1762972607125,2025-10-27 04:39:25.007,2025-11-12 18:36:47.125,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1827355170014,1829536002660,2027-11-27 22:39:30.014,2027-12-23 04:26:42.660,0,1000,600,0.95,pattern,custom,1 Minutes,256:30:89;257:-89:-30;257:30:89;257:-89:-30
1981710026538,1982097707110,2032-10-18 11:00:26.538,2032-10-22 22:41:47.110,0,1000,600,0.95,pattern,custom,10 Seconds,386:30:89;385:-89:-30;385:30:89;385:-89:-30
1995222580181,1997428771458,2033-03-23 20:29:40.181,2033-04-18 09:19:31.458,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1726052024240,1733150380173,2024-09-11 10:53:44.240,2024-12-02 14:39:40.173,0,1000,600,0.95,pattern,custom,3 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
1787709422180,1790747081583,2026-08-26 01:57:02.180,2026-09-30 05:44:41.583,0,1000,600,0.95,pattern,custom,2 Minutes,32:30:89;32:-89:-30;32:30:89;32:-89:-30
1969533595500,1980762819332,2032-05-30 12:39:55.500,2032-10-07 11:53:39.332,0,1000,600,0.95,pattern,custom,5 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1788893126836,1791416952179,2026-09-08 18:45:26.836,2026-10-07 23:49:12.179,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1864349986104,1865819193223,2029-01-29 02:59:46.104,2029-02-15 03:06:33.223,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1898060534574,1899254893565,2030-02-23 07:02:14.574,2030-03-09 02:48:13.565,0,1000,600,0.95,pattern,custom,30 Seconds,256:30:89;257:-89:-30;257:30:89;257:-89:-30
2015325561412,2017707682457,2033-11-11 12:39:21.412,2033-12-09 02:21:22.457,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
