orig_idx,subset,subset_idx
0,vis,0
1,vis,1
2,pat,0
3,vis,2
4,vis,3
5,pat,1
6,vis,4
7,pat,2
8,pat,3
9,vis,5
10,pat,4
11,vis,6
12,pat,5
13,pat,6
14,vis,7
15,pat,7
16,vis,8
17,vis,9
18,pat,8
19,pat,9
20,pat,10
21,vis,10
22,pat,11
23,vis,11
24,vis,12
25,vis,13
26,pat,12
27,vis,14
28,pat,13
29,pat,14
30,vis,15
31,vis,16
32,pat,15
33,pat,16
34,vis,17
35,pat,17
36,vis,18
37,vis,19
38,vis,20
39,pat,18
40,pat,19
41,vis,21
42,vis,22
43,pat,20
44,vis,23
45,pat,21
46,pat,22
47,vis,24
48,pat,23
49,pat,24
